,index,file,date,bathym_mean,bathym_q25,bathym_q10,milemarker,segment_id,water_elev,geometry,bathym_fixing,bathym_fixed,depth,year
34,727,LM_11_YBS_20150504_CS_5368_5380_w_datum.gpkg,2015-05-04 00:00:00+00:00,-47.520355224609375,-53.99100112915039,-56.88100090026855,538.0,58,89.0575210426582,"POLYGON ((-91.13924988040553 33.35403601314531, -91.10672278871465 33.35403601314531, -91.10672278871465 33.37516508236409, -91.13924988040553 33.37516508236409, -91.13924988040553 33.35403601314531))",47.520355224609375,47.520355224609375,41.53716581804882,2015
35,960,LM_15_CVB_20150513_CS_MB_5998_6000_w_datum.gpkg,2015-05-13 00:00:00+00:00,-83.85743713378906,-100.52220916748048,-104.89099884033205,600.0,52,111.44606595697392,"POLYGON ((-91.09594975307186 33.96141408802488, -91.0862608371758 33.96141408802488, -91.0862608371758 33.97000896721105, -91.09594975307186 33.97000896721105, -91.09594975307186 33.96141408802488))",83.85743713378906,83.85743713378906,27.588628823184862,2015
36,961,LM_15_CVB_20150514_CS_MB_5992_5997_w_datum.gpkg,2015-05-14 00:00:00+00:00,-58.87557220458984,-85.17389297485352,-101.78045501708984,600.0,52,111.44606595697392,"POLYGON ((-91.09550487507066 33.95520423991855, -91.08124908593626 33.95520423991855, -91.08124908593626 33.96302938361447, -91.09550487507066 33.96302938361447, -91.09550487507066 33.95520423991855))",58.87557220458984,58.87557220458984,52.57049375238409,2015
37,962,LM_15_CVB_20150515_CS_MB_5987_5993_w_datum.gpkg,2015-05-15 00:00:00+00:00,-41.076961517333984,-47.12351036071777,-53.9669605255127,599.0,52,110.93482617892532,"POLYGON ((-91.08695940343122 33.94992945281263, -91.07142665081585 33.94992945281263, -91.07142665081585 33.95734438928312, -91.08695940343122 33.95734438928312, -91.08695940343122 33.94992945281263))",41.076961517333984,41.076961517333984,69.85786466159134,2015
38,965,LM_15_CVB_20150516_CS_MB_5980_5989_w_datum.gpkg,2015-05-16 00:00:00+00:00,-50.230098724365234,-59.46925354003906,-79.17411956787109,598.0,52,110.42358640087676,"POLYGON ((-91.07872890025281 33.949302823522096, -91.06054854210277 33.949302823522096, -91.06054854210277 33.95584240941237, -91.07872890025281 33.95584240941237, -91.07872890025281 33.949302823522096))",50.230098724365234,50.230098724365234,60.19348767651152,2015
39,963,LM_15_CVB_20150516_CS_MB_5972_5978_w_datum.gpkg,2015-05-16 00:00:00+00:00,-82.6037368774414,-85.36711502075195,-87.2561149597168,597.0,52,109.91234662282818,"POLYGON ((-91.06048169886637 33.94360452050788, -91.04614734173597 33.94360452050788, -91.04614734173597 33.95241276759436, -91.06048169886637 33.95241276759436, -91.06048169886637 33.94360452050788))",82.6037368774414,82.6037368774414,27.308609745386775,2015
40,964,LM_15_CVB_20150516_CS_MB_5976_5983_w_datum.gpkg,2015-05-16 00:00:00+00:00,-75.35567474365234,-82.99160766601562,-86.9776611328125,598.0,52,110.42358640087676,"POLYGON ((-91.06748436548155 33.94534743670955, -91.05357487587871 33.94534743670955, -91.05357487587871 33.95425940903101, -91.06748436548155 33.95425940903101, -91.06748436548155 33.94534743670955))",75.35567474365234,75.35567474365234,35.067911657224414,2015
41,688,LM_10_SSL_20150517_CS_5278_5290_w_datum.gpkg,2015-05-17 00:00:00+00:00,-56.22471237182617,-60.60975360870361,-61.01516990661621,528.0,59,83.71113054317442,"POLYGON ((-91.13798171053759 33.251185469600564, -91.09882710415896 33.251185469600564, -91.09882710415896 33.27245190343681, -91.13798171053759 33.27245190343681, -91.13798171053759 33.251185469600564))",56.22471237182617,56.22471237182617,27.486418171348248,2015
42,966,LM_15_CVB_20150517_CS_MB_5967_5973_w_datum.gpkg,2015-05-17 00:00:00+00:00,-87.70877838134766,-89.13422012329102,-95.02550201416015,597.0,52,109.91234662282818,"POLYGON ((-91.05020394325757 33.94164558998088, -91.037557336787 33.94164558998088, -91.037557336787 33.951128205511914, -91.05020394325757 33.951128205511914, -91.05020394325757 33.94164558998088))",87.70877838134766,87.70877838134766,22.203568241480525,2015
43,967,LM_15_CVB_20150518_CS_MB_5964_5967_w_datum.gpkg,2015-05-18 00:00:00+00:00,-89.83894348144531,-92.06562423706056,-93.32743072509766,596.0,52,109.40110684477962,"POLYGON ((-91.04224572694869 33.93790679890017, -91.0286150503215 33.93790679890017, -91.0286150503215 33.94951457298359, -91.04224572694869 33.94951457298359, -91.04224572694869 33.93790679890017))",89.83894348144531,89.83894348144531,19.562163363334307,2015
